row_index,ISO_TIME,LAT,LON,Variable,Value_Jianan,Value_Yohei,Abs_diff
22,2051-01-23 00:00:00,-22.22,154.12,RH_1000hPa,5.531389801179758e+33,0.8582343824788519,5.531389801179758e+33
22,2051-01-23 00:00:00,-22.22,154.12,SD_1000hPa,9.101999736303872e+33,0.0035460906787384,9.101999736303872e+33
23,2051-01-23 06:00:00,-22.22,154.69,RH_1000hPa,6.07103758666071e+33,,
23,2051-01-23 06:00:00,-22.22,154.69,SD_1000hPa,9.98999971057742e+33,,
24,2051-01-23 12:00:00,-22.78,155.25,RH_1000hPa,5.795081332721587e+33,0.9008894490697814,5.795081332721587e+33
24,2051-01-23 12:00:00,-22.78,155.25,SD_1000hPa,9.535908814642084e+33,0.0024777166785364,9.535908814642084e+33
25,2051-01-23 18:00:00,-23.34,156.38,RH_1000hPa,6.07103758666071e+33,,
25,2051-01-23 18:00:00,-23.34,156.38,SD_1000hPa,9.98999971057742e+33,,
26,2051-01-24 00:00:00,-24.47,156.94,RH_1000hPa,5.396477854809519e+33,0.9234006641410364,5.396477854809519e+33
26,2051-01-24 00:00:00,-24.47,156.94,SD_1000hPa,8.879999742735485e+33,0.0018142782896787,8.879999742735485e+33
27,2051-01-24 06:00:00,-25.03,158.06,RH_1000hPa,6.07103758666071e+33,,
27,2051-01-24 06:00:00,-25.03,158.06,SD_1000hPa,9.98999971057742e+33,,
28,2051-01-24 12:00:00,-26.16,159.19,RH_1000hPa,6.07103758666071e+33,,
28,2051-01-24 12:00:00,-26.16,159.19,SD_1000hPa,9.98999971057742e+33,,
29,2051-01-24 18:00:00,-27.84,160.88,RH_1000hPa,6.07103758666071e+33,,
29,2051-01-24 18:00:00,-27.84,160.88,SD_1000hPa,9.98999971057742e+33,,
